Type,Name,Latitude,Longitude,City,Max_Capacity_MW
NUCLEAR,Almaraz I Nuclear Power Plant,398.081,-56.956,Almaraz,1300.0
NUCLEAR,Almaraz II Nuclear Power Plant,398.081,-56.956,Almaraz,1300.0
NUCLEAR,Ascó I Nuclear Power Plant,411.833,5.667,Ascó,1275.0
NUCLEAR,Ascó II Nuclear Power Plant,411.833,5.667,Ascó,1275.0
NUCLEAR,Cofrentes Nuclear Power Plant,392.333,-10.667,Cofrentes,1375.0
NUCLEAR,Trillo Nuclear Power Plant,40.7,-26.167,Trillo,1325.0
NUCLEAR,Vandellós II Nuclear Power Plant,409.667,8.667,Vandellòs,1350.0
HYDRO,Aldeadávila Hydroelectric Plant,41.2,-66.333,Aldeadávila de la Ribera,1550.0
HYDRO,José María de Oriol Hydroelectric Plant,397.167,-63.833,Alcántara,1200.0
HYDRO,Villarino Hydroelectric Plant,41.2,-66.333,Villarino de los Aires,1075.0
HYDRO,Cortes-La Muela Pumped Hydro Plant,39.2,-6.167,Cortes de Pallás,2187.5
HYDRO,Saucelle Hydroelectric Plant,41.0,-67.167,Saucelle,650.0
HYDRO,Gigabateria do Tâmega,416.833,-7.8,Vila Real,1450.0
HYDRO,La Serena Hydroelectric Plant,38.75,-5.95,Villanueva de la Serena,1100.0
COMBINED_CYCLE,Castellón Combined Cycle Plant,399.833,-333,Castellón,2062.5
COMBINED_CYCLE,Sagunto Combined Cycle Plant,396.667,-2.667,Sagunto,1500.0
COMBINED_CYCLE,Bahía de Bizkaia Plant,433.167,-30.167,Ciérvana,975.0
COMBINED_CYCLE,Castejón Combined Cycle Plant,42.05,-1.7,Castejón,1050.0
COMBINED_CYCLE,Soto de Ribera Plant,433.167,-58.667,Ribera de Arriba,1525.0
COAL,Aboño Thermal Power Plant,43.55,-57.167,Carreño,1150.0
COAL,Es Murterar Thermal Power Plant,398.167,3.0833,Alcudia,425.0
COAL,Meirama Thermal Power Plant,432.167,-84.167,Cerceda,687.5
COAL,Los Barrios Thermal Power Plant,361.833,-54.333,Los Barrios,700.0
WIND,El Andévalo Wind Farm,378.333,-6.95,Huelva,730.0
WIND,Maranchón Wind Farm,409.667,-21.833,Guadalajara,520.0
WIND,Peña del Cuervo Wind Farm,424.333,-2.85,La Rioja,337.5
WIND,Penamacor Wind Farm,401.667,-7.15,Penamacor,375.0
SOLAR,Núñez de Balboa Solar Plant,383.167,-6.25,Usagre,1250.0
SOLAR,Francisco Pizarro Solar Plant,394.667,-63.833,Cáceres,1475.0
SOLAR,Andasol Solar Plant,372.167,-30.667,Granada,375.0
SOLAR,Flotante de Alqueva Floating Solar Plant,381.667,-7.5,Moura,12.5
SOLAR,Solara 4 Solar Plant,371.833,-83.333,Alcoutim,550.0
BIOMASS,La Loma Biomass Plant,378.167,-30.667,Villanueva del Arzobispo,40.0
BIOMASS,Cogeneración Puertollano,386.833,-41.167,Puertollano,50.0
GEOTHERMAL,Geothermal Experimental Plant,432.667,-19.833,San Sebastián,12.5
GEOTHERMAL,Geotermia Pico Vermelho,37.8,-25.5,Ponta Delgada (Azores),32.5
FUEL_GAS,Central térmica de Castelnou Energía,412.333,-3.833,Castelnou,987.5
FUEL_GAS,Central térmica de Sabón,433.319,-8.5,Arteixo,500.0
FUEL_GAS,Central térmica de Escombreras,375.653,-9.514,Cartagena,1037.5
